timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1299563228752,60,Get client/profiles/338/questions/6956/answers,422,Unprocessable Entity,Client Get 4-4,text,false,55,60
1299563229660,61,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,61
1299563230569,42,Get client/channels,200,OK,Client Get 4-6,text,true,612,42
1299563231477,24,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,24
1299563232385,26,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,26
1299563233294,83,Get client/projects,200,OK,Client Get 4-9,text,true,41854,80
1299563234203,33,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,33
1299563235112,43,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,42
1299643262240,43,Get /client/profileQnsAns/464,200,OK,Client Get 4-1,text,true,729,43
1299643263159,52,Get client/profiles,200,OK,Client Get 4-2,text,true,8256,51
1299643264063,64,Get client/profiles/48/questions,200,OK,Client Get 4-3,text,true,15847,63
1299643264972,58,Get client/profiles/48/questions/261/answers,200,OK,Client Get 4-4,text,true,2584,57
1299643265881,35,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,35
1299643266790,29,Get client/channels,200,OK,Client Get 4-6,text,true,612,29
1299643267698,40,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,40
1299643268607,39,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,39
1299643269515,147,Get client/projects,200,OK,Client Get 4-9,text,true,42730,73
1299643270423,59,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,58
1299643271332,34,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,34
1299730305760,59,Get /client/profileQnsAns/464,500,Internal Server Error,Client Get 4-1,text,false,0,59
1299730306667,46,Get client/profiles,200,OK,Client Get 4-2,text,true,8436,46
1299730307576,37,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,37
1299730308485,39,Get client/profiles/48/questions/261/answers,500,Internal Server Error,Client Get 4-4,text,false,0,39
1299730309394,39,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,39
1299730310302,39,Get client/channels,200,OK,Client Get 4-6,text,true,612,38
1299730311212,38,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,37
1299730312120,25,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,24
1299730313029,86,Get client/projects,200,OK,Client Get 4-9,text,true,43099,75
1299730313938,33,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,32
1299730314848,26,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,26
1299816855419,64,Get /client/profileQnsAns/464,200,OK,Client Get 4-1,text,true,729,64
1299816856310,38,Get client/profiles,200,OK,Client Get 4-2,text,true,8616,37
1299816857219,54,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,54
1299816858128,56,Get client/profiles/48/questions/261/answers,500,Internal Server Error,Client Get 4-4,text,false,0,56
1299816859036,37,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,37
1299816859945,39,Get client/channels,200,OK,Client Get 4-6,text,true,612,38
1299816860854,52,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,52
1299816861762,41,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,41
1299816862671,87,Get client/projects,200,OK,Client Get 4-9,text,true,43278,81
1299816863650,24,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,23
1299816864510,42,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,42
1300074509380,478,Get /client/profileQnsAns/464,422,Unprocessable Entity,Client Get 4-1,text,false,43,478
1300074510271,71,Get client/profiles,200,OK,Client Get 4-2,text,true,7758,71
1300074511180,57,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,57
1300074512089,66,Get client/profiles/48/questions/261/answers,500,Internal Server Error,Client Get 4-4,text,false,0,66
1300074512998,42,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,42
1300074513980,152,Get client/channels,200,OK,Client Get 4-6,text,true,612,152
1300074514815,39,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,39
1300074515724,23,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,23
1300074516634,146,Get client/projects,200,OK,Client Get 4-9,text,true,45012,144
1300074517542,37,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,37
