elapsed,label,responseCode,responseMessage,threadName,success,failureMessage
68,Completes,200,OK,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""([^""]+)Id""/"
35,Review Completes,422,Unprocessable Entity,Normal Client - Survey Flow 1-1,false,
39,Review History,422,Unprocessable Entity,Normal Client - Survey Flow 1-1,false,
12,Undo Review History,422,Unprocessable Entity,Normal Client - Survey Flow 1-1,false,
66,Review Completes,422,Unprocessable Entity,Normal Client - Survey Flow 1-1,false,
96,Complete Project,422,Unprocessable Entity,Normal Client - Survey Flow 1-1,false,
127,Complete Project Attempt 2,422,Unprocessable Entity,Normal Client - Survey Flow 1-1,false,
30,Status Check Complete,200,OK,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /{""status"":""complete""}/"
97,Project History,200,OK,Normal Client - Survey Flow 1-1,true,
269,Create SB Project,201,Created,SB Client - Survey Flow 2-1,true,
50,Project SB PUT,200,OK,SB Client - Survey Flow 2-1,true,
113,Project SB GET,200,OK,SB Client - Survey Flow 2-1,true,
311,Create SB Group 2,201,Created,SB Client - Survey Flow 2-1,true,
42,Group SB GET,200,OK,SB Client - Survey Flow 2-1,true,
215,Group SB PUT,200,OK,SB Client - Survey Flow 2-1,true,
69,Channel SB PUT,200,OK,SB Client - Survey Flow 2-1,true,
45,Channel SB GET,200,OK,SB Client - Survey Flow 2-1,true,
68,LiveCloseSettings,200,OK,SB Client - Survey Flow 2-1,true,
43,LiveCloseSettings GET,200,OK,SB Client - Survey Flow 2-1,false,"Test failed: text expected to equal /

****** received  : ...tType"":""asap"",""costLimits"":{""groupDetails"":[{""groupId"":45510,""estimatedIncidence"":50,""estimatedCPI"":[[[6               ]]],""turnOnCPILimitOption"":""N""}]}}

****** comparison: ...tType"":""asap"",""costLimits"":{""groupDetails"":[{""groupId"":45510,""estimatedIncidence"":50,""estimatedCPI"":[[[${effective_cpi}]]],""turnOnCPILimitOption"":""N""}]}}

/"
91,SurveyUrl,200,OK,SB Client - Survey Flow 2-1,true,
35,SurveyUrl GET,200,OK,SB Client - Survey Flow 2-1,true,
458,Status,200,OK,SB Client - Survey Flow 2-1,true,
47,Status GET,200,OK,SB Client - Survey Flow 2-1,true,
401,Copy Project,201,Created,SB Client - Survey Flow 2-1,true,
1567,Delete Project,200,OK,SB Client - Survey Flow 2-1,true,
3388,Group Encode 1,200,OK,SB Client - Survey Flow 2-1,true,
222,Project Encode,200,OK,SB Client - Survey Flow 2-1,true,
6680,Client Encode,200,OK,SB Client - Survey Flow 2-1,true,
14828,/index.php,200,OK,SB Client - Survey Flow 2-1,true,
11691,/dashboard.php,200,OK,SB Client - Survey Flow 2-1,true,
153,Click Survey 1,302,Found,SB Client - Survey Flow 2-1,true,
831,Click Survey 2,200,OK,SB Client - Survey Flow 2-1,true,
12590,Redirect,200,OK,SB Client - Survey Flow 2-1,true,
14294,Dashboard after complete,200,OK,SB Client - Survey Flow 2-1,true,
12480,/ssred.php,200,OK,SB Client - Survey Flow 2-1,true,
145,LogOut User 1,200,OK,SB Client - Survey Flow 2-1,true,
428,Status Close,200,OK,SB Client - Survey Flow 2-1,true,
40,Status GET Close,200,OK,SB Client - Survey Flow 2-1,true,
254,Stats,200,OK,SB Client - Survey Flow 2-1,true,
61,Terminates for Review,200,OK,SB Client - Survey Flow 2-1,true,
78,Review Terminates,200,OK,SB Client - Survey Flow 2-1,true,
73,Review History,200,OK,SB Client - Survey Flow 2-1,true,
151,Review Completes,200,OK,SB Client - Survey Flow 2-1,true,
421,Complete Project,200,OK,SB Client - Survey Flow 2-1,true,
44,Status Check Complete,200,OK,SB Client - Survey Flow 2-1,true,
51,Project History,200,OK,SB Client - Survey Flow 2-1,true,
27,Zip Radius GET,200,OK,SB Client - Survey Flow 2-1,true,
166,Estimated CPI GET,200,OK,SB Client - Survey Flow 2-1,true,
290,Create SB Project,201,Created,SB Client - Check Invalidates 3-1,true,
292,Create SB Group,201,Created,SB Client - Check Invalidates 3-1,true,
79,LiveCloseSettings,200,OK,SB Client - Check Invalidates 3-1,true,
79,SurveyUrl,200,OK,SB Client - Check Invalidates 3-1,true,
480,Status,200,OK,SB Client - Check Invalidates 3-1,true,
430,Status Pause,200,OK,SB Client - Check Invalidates 3-1,true,
481,Status Live,200,OK,SB Client - Check Invalidates 3-1,true,
448,Group Encode,200,OK,SB Client - Check Invalidates 3-1,true,
225,Project Encode,200,OK,SB Client - Check Invalidates 3-1,true,
224,Client Encode,200,OK,SB Client - Check Invalidates 3-1,true,
2478,/index.php,200,OK,SB Client - Check Invalidates 3-1,true,
3392,/dashboard.php,200,OK,SB Client - Check Invalidates 3-1,true,
