timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1316169778066,312,Click Survey,200,OK,Success 1-18,text,true,686,312
1316169781222,357,Click Survey,200,OK,Success 1-4,text,true,686,357
1316169790956,248,Click Survey,200,OK,Success 1-6,text,true,686,248
1316169792972,477,Click Survey,200,OK,Success 1-10,text,true,686,477
1316169793112,355,Click Survey,200,OK,Success 1-2,text,true,686,355
1316169807097,210,Click Survey,200,OK,Success 1-9,text,true,686,210
1316169811628,312,Click Survey,200,OK,Success 1-16,text,true,686,312
1316169815425,242,Click Survey,200,OK,Success 1-1,text,true,686,242
1316169818066,261,Click Survey,200,OK,Success 1-5,text,true,686,261
1316169822862,242,Click Survey,200,OK,Success 1-14,text,true,686,242
1316169822894,301,Click Survey,200,OK,Success 1-19,text,true,686,301
1316169830378,266,Click Survey,200,OK,Success 1-12,text,true,686,266
1316169838878,225,Click Survey,200,OK,Success 1-3,text,true,686,225
1316169840612,250,Click Survey,200,OK,Success 1-11,text,true,686,250
