elapsed,label,responseCode,responseMessage,threadName,success,failureMessage
0,Project History,Non HTTP response code: java.lang.IllegalArgumentException,Non HTTP response message: Invalid uri 'https://api.samplemarket.com/projects/${project_id}/auditTrail': escaped absolute path not valid,Normal Client - Survey Flow 1-1,false,"Test failed: text expected to contain /""action""/"
1517,Create SB Project,201,Created,SB Client - Survey Flow 2-1,true,
111,Project SB PUT,200,OK,SB Client - Survey Flow 2-1,true,
89,Project SB GET,200,OK,SB Client - Survey Flow 2-1,true,
2701,Create SB Group 2,201,Created,SB Client - Survey Flow 2-1,true,
112,Group SB GET,200,OK,SB Client - Survey Flow 2-1,true,
2397,Group SB PUT,200,OK,SB Client - Survey Flow 2-1,true,
116,Channel SB PUT,200,OK,SB Client - Survey Flow 2-1,true,
157,Channel SB GET,200,OK,SB Client - Survey Flow 2-1,true,
117,LiveCloseSettings,200,OK,SB Client - Survey Flow 2-1,true,
93,LiveCloseSettings GET,200,OK,SB Client - Survey Flow 2-1,true,
162,SurveyUrl,200,OK,SB Client - Survey Flow 2-1,true,
63,SurveyUrl GET,200,OK,SB Client - Survey Flow 2-1,true,
1275,Status,200,OK,SB Client - Survey Flow 2-1,true,
62,Status GET,200,OK,SB Client - Survey Flow 2-1,true,
3683,Copy Project,201,Created,SB Client - Survey Flow 2-1,true,
189,Delete Project,200,OK,SB Client - Survey Flow 2-1,true,
493,Group Encode 1,200,OK,SB Client - Survey Flow 2-1,true,
321,Project Encode,200,OK,SB Client - Survey Flow 2-1,true,
249,Client Encode,200,OK,SB Client - Survey Flow 2-1,true,
494,/index.php,200,OK,SB Client - Survey Flow 2-1,true,
352,/dashboard.php,200,OK,SB Client - Survey Flow 2-1,true,
4298,/getDashboard.php,200,OK,SB Client - Survey Flow 2-1,true,
492,/get4sDashboard.php,200,OK,SB Client - Survey Flow 2-1,true,
190,Click Survey 1,302,Found,SB Client - Survey Flow 2-1,true,
941,Click Survey 2,200,OK,SB Client - Survey Flow 2-1,true,
1199,Redirect,200,OK,SB Client - Survey Flow 2-1,true,
280,Dashboard after complete,200,OK,SB Client - Survey Flow 2-1,true,
